Student	Date	Year	Months	Day	Position	Size	DOC_UiO	DOC_frac	frac_stdev	frac_DOC	pH	Cond	THg	MeHg	THg_DOC	MeHg_DOC	Abs_254	Abs_285	Abs_365	Abs_400	sUVa	SAR	sVISa	Labile	E2_E3	Biodeg_rate	Brate_stdev
Elena	15.09.2016	2016	September	15	Inlet	HMW	18.5	14.6017628	0.229272397	93.18291513	5.07	17.46	3.25	0.126	0.173240938	0.006716418	0.658	1.156	0.156	0.086	3.51	7.65	4.58	6.16	4.22		
Elena	15.09.2016	2016	September	15	Outlet	HMW	14.6	10.86033234	0.488527706	88.87342343	5.23	13.12	3.7	0.26	0.258199581	0.018143754	0.387	0.706	0.084	0.053	2.7	7.3	3.7	4.93	4.61		
Elena	25.01.2017	2017	January	25	Inlet	HMW	12.5	8.733682613	0.307631052	85.90225842	5.05	16.6	1.92	0.11	0.146118721	0.008371385	0.923	1.592	0.215	0.115	7.02	8.03	8.75	12.12	4.29		
Elena	25.01.2017	2017	January	25	Outlet	HMW	15.9	12.37761205	0.125107777	90.83152602	5.09	17.63	2.7	0.11	0.165036675	0.006723716	0.672	1.117	0.156	0.08	4.11	8.4	4.89	6.83	4.31		
Stevie	01.04.2017	2017	April	1	Inlet	HMW	11.55	9.274978024	0.292641328	89.74561894	4.91	19.18	2.68	0.029	0.232094916	0.002511475	0.699		0.163	0.088	6.05	7.94	7.62		4.29		
Stevie	01.04.2017	2017	April	1	Hypolimnion	HMW	12.11	8.972771235	0.03389684	92.1375303	5.33	15.19	2.95	0.07	0.243539998	0.005778915	0.764		0.181	0.1	6.31	7.64	8.26		4.22		
Stevie	01.04.2017	2017	April	1	Outlet	HMW	12.37	8.893793249	0.282632104	86.43460203	4.93	20.5	2.89	0.051	0.233648638	0.004123211	0.77		0.182	0.1	6.23	7.7	8.08		4.23		
Stevie	06.06.2017	2017	June	6	Inlet	HMW	14.09	10.14445115	0.340502761	89.14972705	4.86	17.69	3.32	0.044	0.235561232	0.003121896	0.937		0.225	0.123	6.65	7.62	8.73		4.16		
Stevie	06.06.2017	2017	June	6	Outlet	HMW	10.3	7.100025372	0.658745195	85.92694334	5.45	11.39	2.47	0.058	0.238808856	0.005607657	0.525		0.119	0.066	5.08	7.95	6.38		4.41		
Stevie	22.09.2017	2017	September	22	Inlet	HMW	22.4	15.97890444	0.458709164	89.18076837	4.74	19.71	2.78	0.028	0.124051763	0.001249442	0.927		0.225	0.124	4.14	7.48	5.53		4.12		
Stevie	22.09.2017	2017	September	22	Hypolimnion	HMW	11.1	8.247558137	0.372611053	88.33543608	5.71	9.8	2.38	0.094	0.213529517	0.008433519	0.617		0.154	0.088	5.54	7.01	7.9		4.01		
