Student	Date	Year	Month1	Month	Lake	Fraction	group	Replica	t0	Rate_ori	Rate_mol	Rate_C_mg	Rate_C_mg_ave	mg C		Rate.DOC	Modelled	Rate.DOC.ave	Rate.DOC.stdev		Rate.DOC.RSD	Rel.rate.DOC	DOC	pH	Cond	Temp-Cond	Hg	MeHg	Abs204	Abs220	Abs254	Abs285	Abs365	Abs400	Abs600	sUVa	sVISa	SAR	E2_E3	Lability	HI	Hg.DOC	MeHg.DOC	HI_C
Elena		2016	September	September_16	Inlet	Bulk	Inlet Bulk	1		-1.39	-0.00000139	-0.01668	-0.01744			-0.001078216	-12	-0.001127	0.000055		-4.880212955		15.47	6.14	7.39	23.2	2.85	0.13	0.495	0.993	0.675	1.175	0.16	0.088	0.008	4.363283775	5.688429218	7.670454545	4.21875	7.595345831	0.733	0.184227537		7.595345831
Elena		2016	September	September_16	Inlet	Bulk		2		-1.44	-0.00000144	-0.01728				-0.001117001	-13						15.47	6.14	7.39	23.2	2.85																	
Elena		2016	September	September_16	Inlet	Bulk		3		-1.53	-0.00000153	-0.01836				-0.001186813	-13						15.47	6.14	7.39	23.2	2.85																	
Elena	15.09.2016	2016	September	September_16	Inlet	LMW	Inlet LMW	1		-1.19	-0.00000119	-0.01428	-0.01696			-0.003912329	-10	-0.004647	0.000671		-14	67	3.65	5.05	14.55	22.2	0.12	0.003	0.015	0.042	0.024	0.064	0.004	0.002	0	0.657534247	0.547945205	12	6	1.753424658	0.625	0.032876712	0.002739726	1.753424658
Elena	15.09.2016	2016	September	September_16	Inlet	LMW	Inlet LMW	2		-1.59	-0.00000159	-0.01908				-0.005227397	-14						3.65	5.05	14.55	22.2	0.12	0.01																
Elena	15.09.2016	2016	September	September_16	Inlet	LMW	Inlet LMW	3		-1.46	-0.00000146	-0.01752				-0.0048	-13						3.65	5.05	14.55	22.2	0.12	0.01																
Elena	15.09.2016	2016	September	September_16	Inlet	HMW	Inlet HMW	1		-0.65	-0.00000065	-0.0078	-0.00752			-0.000415778	-6	-0.000401	0.000016		-4	6	18.76	5.07	17.46	22.3	3.25	0.126	0.482	0.973	0.658	1.156	0.156	0.086	0.008	3.507462687	4.584221748	7.651162791	4.217948718	6.162046908	0.733	0.173240938	0.005863539	6.162046908
Elena	15.09.2016	2016	September	September_16	Inlet	HMW	Inlet HMW	2		-0.6	-0.0000006	-0.0072				-0.000383795	-5						18.76	5.07	17.46	22.3	3.25	0.11																
Elena	15.09.2016	2016	September	September_16	Inlet	HMW	Inlet HMW	3		-0.63	-0.00000063	-0.00756				-0.000402985	-6						18.76	5.07	17.46	22.3	3.25	0.11																
Elena		2016	September	September_16	Outlet	Bulk	Outlet Bulk	1		-0.37	-0.00000037	-0.00444	-0.00708			-0.000364832	-3	-0.000582	0.00019		-33		12.2	5.49	7.3	22	3.01	0.13	0.296	0.602	0.417	0.715	0.092	0.051	0.005	3.492462312	4.271356784	8.176470588	4.532608696	5.988274707	0.71	0.252093802	0.007537688	5.988274707
Elena		2016	September	September_16	Outlet	Bulk		2		-0.67	-0.00000067	-0.00804				-0.000660641	-6						12.2	5.49	7.3	22	3.01	0.09																
Elena		2016	September	September_16	Outlet	Bulk		3		-0.73	-0.00000073	-0.00876				-0.000719803	-6						12.2	5.49	7.3	22	3.01	0.09																
Elena	15.09.2016	2016	September	September_16	Outlet	LMW	Outlet LMW	1		NA			-0.03816					-0.006964	0.001146		-16	100	5.48	5.22	10.96	22.2	0.66	0.003	0.014	0.031	0.021	0.041	0.003	0.001	0	0.383211679	0.182481752	21	7	0.748175182	0.667	0.120437956	0.001824818	0.748175182
Elena	15.09.2016	2016	September	September_16	Outlet	LMW	Outlet LMW	2	10	-3.55	-0.00000355	-0.0426				-0.007773723	-31						5.48	5.22	10.96	22.2	0.66	0.01																
Elena	15.09.2016	2016	September	September_16	Outlet	LMW	Outlet LMW	3	10	-2.81	-0.00000281	-0.03372				-0.006153285	-25						5.48	5.22	10.96	22.2	0.66	0.01																
Elena	15.09.2016	2016	September	September_16	Outlet	HMW	Outlet HMW	1		-0.7	-0.0000007	-0.0084	-0.00732			-0.000586183	-6	-0.000511	0.000072		-14	7	14.33	5.23	13.12	22.5	3.7	0.26	0.275	0.577	0.387	0.706	0.084	0.053	0.002	2.700628053	3.698534543	7.301886792	4.607142857	4.926727146	0.711	0.258199581	0.007676204	4.926727146
Elena	15.09.2016	2016	September	September_16	Outlet	HMW		2		-0.6	-0.0000006	-0.0072				-0.000502442	-5						14.33	5.23	13.12	22.5	3.7	0.11																
Elena	15.09.2016	2016	September	September_16	Outlet	HMW		3		-0.53	-0.00000053	-0.00636				-0.000443824	-5						14.33	5.23	13.12	22.5	3.7	0.11																
Elena		2017	January	January_17	Inlet	Bulk	Inlet Bulk	1		-0.39	-0.00000039	-0.00468	-0.00414			-0.000457926	-3	-0.000405	0.000075		-19		10.22	5.44	9.17	22.2	1.53	0.13	0.55	1.094	0.749	1.289	0.177	0.097	0.01	7.328767123	9.5	7.721649485	4.231638418	12.61252446	0.734	0.149706458	0.003424658	12.61252446
Elena		2017	January	January_17	Inlet	Bulk		2		NA													10.22	5.44	9.17	22.2	1.53	0.035																
Elena		2017	January	January_17	Inlet	Bulk		3		-0.3	-0.0000003	-0.0036				-0.00035225	-3						10.22	5.44	9.17	22.2	1.53	0.035																
