ProjectId;ProjectName;StationId;StationCode;StationName;SampleDate_dato;SampleDate_tid;Depth1;Depth2;Al_µg/l;Al/IL_µg/l;Al/L_µg/l;Al/R_µg/l;Alk_4.5_mmol/l;ANC_µEkv/L;As_µg/l;Au_µg/l;Ba_µg/l;Ca_mg/L;Cd_µg/l;Ce_µg/l;Cl_mg/L;Co_µg/l;Cr_µg/l;Cu_mg/l;DOC_mg/L C;Er_µg/l;Eu_µg/l;Farge_mg Pt/l;Fe_µg/l;Hg_ng/l;Ho_µg/l;K_mg/L;KOND20_µS/cm;Konduktivitet_mS/m;Mg_mg/L;Mn_µg/l;Mo_µg/l;Na_mg/L;NH4-N_µg/l;Ni_µg/L;NO3-N_µg/l;Pb_mg/l;PCB101_ng/l;PCB28_ng/l;Pd_µg/l;pH;PO4-P_µg/l;Pt_µg/l;S_µg/l;SiO2_mg/l;Sm_µg/l;SO4_mg/L;SO4_Old_mg/l;Sr_µg/l;TOC_mg/l;TOTN_µg/l;TOTP_µg/l;UV absorbans_Abs/cm;UV-Abs. 254nm_Abs/cm;UV-Abs. 365nm_Abs/cm;UV-Abs. 410nm_Abs/cm;Y_µg/l;Zn_mg/l
2898;FELTFO;37933;LAE03;Innløpsbekk øst;09.05.1973;00:00:00;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0.88;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;80;NaN;NaN;NaN;0.23;20;NaN;0.24;NaN;NaN;NaN;8;NaN;< 10;NaN;NaN;NaN;NaN;4.63;NaN;NaN;NaN;NaN;NaN;NaN;3.2;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2898;FELTFO;37933;LAE03;Innløpsbekk øst;11.05.1973;15:00:00;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0.86;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;68;NaN;NaN;NaN;0.27;21.5;NaN;0.24;NaN;NaN;NaN;10;NaN;< 10;NaN;NaN;NaN;NaN;4.53;NaN;NaN;NaN;NaN;NaN;NaN;3.4;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2898;FELTFO;37933;LAE03;Innløpsbekk øst;19.05.1973;00:00:00;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;1.01;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;80;NaN;NaN;NaN;0.19;19.6;NaN;0.27;NaN;NaN;NaN;10;NaN;< 10;NaN;NaN;NaN;NaN;4.67;NaN;NaN;NaN;NaN;NaN;NaN;3.7;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2898;FELTFO;37933;LAE03;Innløpsbekk øst;27.05.1973;00:00:00;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0.99;NaN;NaN;0.6;NaN;NaN;NaN;NaN;NaN;NaN;87;NaN;NaN;NaN;0.14;19.4;NaN;0.26;NaN;NaN;NaN;5;NaN;< 10;NaN;NaN;NaN;NaN;4.61;NaN;NaN;NaN;NaN;NaN;NaN;3.5;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0.01
2898;FELTFO;37933;LAE03;Innløpsbekk øst;03.06.1973;13:00:00;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;1.1;NaN;NaN;0.6;NaN;NaN;NaN;NaN;NaN;NaN;85;NaN;NaN;NaN;0.06;22.4;NaN;0.27;NaN;NaN;NaN;15;NaN;< 10;NaN;NaN;NaN;NaN;4.49;NaN;NaN;NaN;NaN;NaN;NaN;3.3;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;< 0,01
2898;FELTFO;37933;LAE03;Innløpsbekk øst;11.06.1973;00:00:00;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;1.14;NaN;NaN;0.6;NaN;NaN;NaN;NaN;NaN;NaN;103;NaN;NaN;NaN;NaN;18.5;NaN;0.25;NaN;NaN;NaN;5;NaN;< 10;NaN;NaN;NaN;NaN;4.7;NaN;NaN;NaN;NaN;NaN;NaN;2.9;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;< 0,01
2898;FELTFO;37933;LAE03;Innløpsbekk øst;16.06.1973;00:00:00;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;1.13;NaN;NaN;0.6;NaN;NaN;NaN;NaN;NaN;NaN;106;NaN;NaN;NaN;0.08;20;NaN;0.24;NaN;NaN;NaN;< 5;NaN;< 10;NaN;NaN;NaN;NaN;4.78;NaN;NaN;NaN;NaN;NaN;NaN;2.6;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0.02
2898;FELTFO;37933;LAE03;Innløpsbekk øst;21.06.1973;00:00:00;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;1.1;NaN;NaN;0.8;NaN;NaN;NaN;NaN;NaN;NaN;113;NaN;NaN;NaN;0.05;18;NaN;0.24;NaN;NaN;NaN;< 5;NaN;< 10;NaN;NaN;NaN;NaN;4.76;NaN;NaN;NaN;NaN;NaN;NaN;2.6;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;< 0,01
2898;FELTFO;37933;LAE03;Innløpsbekk øst;16.07.1973;00:00:00;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;1.36;NaN;NaN;0.6;NaN;NaN;NaN;NaN;NaN;NaN;73;NaN;NaN;NaN;0.03;15.8;NaN;0.22;NaN;NaN;NaN;10;NaN;< 10;NaN;NaN;NaN;NaN;5.03;NaN;NaN;NaN;NaN;NaN;NaN;2.8;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0.01
2898;FELTFO;37933;LAE03;Innløpsbekk øst;21.07.1973;00:00:00;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;1.67;NaN;NaN;1;NaN;NaN;NaN;NaN;NaN;NaN;81;NaN;NaN;NaN;0.05;22.8;NaN;0.34;NaN;NaN;NaN;< 5;NaN;< 10;NaN;NaN;NaN;NaN;4.71;NaN;NaN;NaN;NaN;NaN;NaN;3.5;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;< 0,01
2898;FELTFO;37933;LAE03;Innløpsbekk øst;28.07.1973;00:00:00;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;1.66;NaN;NaN;1;NaN;NaN;NaN;NaN;NaN;NaN;172;NaN;NaN;NaN;0.02;22.4;NaN;0.34;NaN;NaN;NaN;< 5;NaN;< 10;NaN;NaN;NaN;NaN;4.59;NaN;NaN;NaN;NaN;NaN;NaN;2.7;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0.01
2898;FELTFO;37933;LAE03;Innløpsbekk øst;03.01.1974;00:00:00;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;1.55;NaN;NaN;0.8;NaN;NaN;NaN;NaN;NaN;NaN;126;NaN;NaN;NaN;0.07;19.4;NaN;0.34;NaN;NaN;NaN;NaN;NaN;20;NaN;NaN;NaN;NaN;5.01;NaN;NaN;NaN;NaN;NaN;NaN;4.6;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0.01
2898;FELTFO;37933;LAE03;Innløpsbekk øst;16.01.1974;00:00:00;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;1.52;NaN;NaN;0.6;NaN;NaN;NaN;NaN;NaN;NaN;76;NaN;NaN;NaN;0.04;20.5;NaN;0.34;NaN;NaN;NaN;25;NaN;20;NaN;NaN;NaN;NaN;4.93;NaN;NaN;NaN;NaN;NaN;NaN;4.9;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;< 0,01
