Date	LAE01 mm	LAE03 mm
05/10/1973	3.812229	3.237932303
06/10/1973	3.0174696	2.565406008
07/10/1973	2.5476696	1.59324073
08/10/1973	1.9293498	1.163207096
09/10/1973	1.7455104	1.402813332
10/10/1973	1.572471	0.625619128
11/10/1973	1.4100264	1.03630604
12/10/1973	1.2579642	0.876606694
13/10/1973	1.1160684	0.72758843
14/10/1973	0.9841176	0.589014714
15/10/1973	0.8618814	0.460647639
16/10/1973	0.7491276	0.56453127
17/10/1973	0.7491276	0.564540952
18/10/1973	0.6456114	0.233536416
19/10/1973	0.5510826	0.134270913
20/10/1973	0.465282	0.266430669
21/10/1973	0.465282	0.266448325
22/10/1973	0.3879432	0.1852172
23/10/1973	0.3879432	0.185226794
24/10/1973	0.3187836	0.112032903
25/10/1973	0.3187836	0.354483782
26/10/1973	0.3187836	0.35654724
27/10/1973	0.3187836	0.334827414
28/10/1973	0.3187836	0.115448671
29/10/1973	0.2575134	0.04824811
30/10/1973	0.2575134	0.270473593
31/10/1973	0.2575134	0.270473593
01/11/1973	0.2575134	0.270473593
02/11/1973	0.2575134	0.270473593
03/11/1973	0.2575134	0.270473593
04/11/1973	0.2575134	0.270473593
05/11/1973	0.2575134	2.003168446
06/11/1973	0.9841176	3.149025758
07/11/1973	1.7455104	3.156336944
08/11/1973	1.9293498	2.033071914
09/11/1973	1.7455104	1.632717148
10/11/1973	1.7455104	1.611004262
11/11/1973	1.572471	1.206910157
12/11/1973	1.4100264	1.03630604
13/11/1973	1.2579642	0.710523543
14/11/1973	1.1160684	0.699907905
15/11/1973	0.9841176	0.805790739
16/11/1973	0.9841176	0.224507231
17/11/1973	0.8618814	0.460647639
18/11/1973	0.7491276	0.56453127
19/11/1973	0.7491276	0.326488436
20/11/1973	0.6456114	0.233536416
21/11/1973	0.5510826	0.356539061
22/11/1973	0.5510826	0.80109616
23/11/1973	0.6456114	-0.179992403
24/11/1973	0.5510826	0.301178011
25/11/1973	0.5510826	0.356549462
26/11/1973	0.465282	0.266430669
27/11/1973	0.465282	0.222159484
28/11/1973	0.3879432	0.1852172
29/11/1973	0.3879432	0.407467694
30/11/1973	0.3879432	0.185226794
01/12/1973	0.3187836	0.112586514
02/12/1973	0.3187836	0.334827414
03/12/1973	0.3187836	0.262858048
04/12/1973	0.3187836	0.11260193
05/12/1973	0.2575134	0.270473593
06/12/1973	0.3187836	0.152917229
07/12/1973	0.3187836	0.301610783
08/12/1973	0.3187836	0.279466363
09/12/1973	0.3187836	0.334827414
10/12/1973	0.3187836	0.11260193
11/12/1973	0.2575134	0.04824811
12/12/1973	0.2575134	0.492699076
13/12/1973	0.3187836	0.280247645
14/12/1973	0.3187836	0.301610783
15/12/1973	0.3187836	0.334827414
16/12/1973	0.3187836	0.251785838
17/12/1973	0.3187836	0.11260193
18/12/1973	0.2575134	0.04824811
19/12/1973	0.2575134	0.192968123
20/12/1973	0.2575134	0.270473593
21/12/1973	0.2575134	-0.177950915
22/12/1973	0.2575134	0.148679282
23/12/1973	0.2575134	0.231720858
24/12/1973	0.2575134	0.270473593
25/12/1973	0.2575134	0.270473593
26/12/1973	0.2575134	0.270473593
27/12/1973	0.2575134	0.04826911
28/12/1973	0.2038284	-0.00811776
29/12/1973	0.2038284	0.214086722
30/12/1973	0.2038284	0.22070808
31/12/1973	0.2038284	0.214086722
01/01/1974	0.2038284	0.214086722
02/01/1974	0.2038284	0.214086722
03/01/1974	0.2038284	-0.008100458
04/01/1974	0.1574064	0.154256175
05/01/1974	0.2038284	0.436273902
06/01/1974	0.2038284	0.103364621
07/01/1974	0.2038284	0.203014512
08/01/1974	0.2038284	0.325569104
09/01/1974	0.2575134	0.309986609
10/01/1974	0.2575134	0.160532774
11/01/1974	0.3187836	0.324536485
12/01/1974	0.3187836	0.224902011
13/01/1974	0.3879432	0.830638615
14/01/1974	0.5510826	-0.233359589
15/01/1974	0.5510826	0.296476254
16/01/1974	0.5510826	0.351837304
17/01/1974	0.5510826	0.578817611
18/01/1974	0.5510826	0.356549462
19/01/1974	0.465282	0.266430669
20/01/1974	0.465282	0.488698818
21/01/1974	0.465282	0.266448325
22/01/1974	0.3879432	0.1852172
23/01/1974	0.3879432	0.407467694
24/01/1974	0.3879432	0.046824168
25/01/1974	0.3187836	0.112586514
26/01/1974	0.3187836	0.334827414
27/01/1974	0.3187836	0.285002468
28/01/1974	0.3187836	0.00345781
29/01/1974	0.3879432	0.258789556
30/01/1974	0.3879432	0.407467694
31/01/1974	0.3879432	0.335498328
01/02/1974	0.3879432	0.407467694
02/02/1974	0.3879432	-0.014072987
03/02/1974	0.3187836	-0.114393793
04/02/1974	0.3187836	0.301610783
05/02/1974	0.3187836	0.334827414
06/02/1974	0.3187836	-0.130205409
07/02/1974	0.3187836	0.141063737
08/02/1974	0.3187836	0.334827414
09/02/1974	0.3187836	0.334827414
10/02/1974	0.3187836	0.334827414
11/02/1974	0.3187836	0.088129626
12/02/1974	0.5510826	1.1356894
13/02/1974	0.6456114	1.124008232
14/02/1974	0.7491276	1.009118776
15/02/1974	0.7491276	0.786829864
