Station.ID	Station.Code	Station	Date	TOC_m	THg_m	MeHg_m	X254nm	X285nm	X365nm	X400nm	THg_s	MeHg_s	DOC_s	X254nm_s	X285nm_s	X365nm_s	X400nm_s	labile_m	labile_s	sUVa_m	sUVa_s	sVISa_m	sVISa_s	SAR_m	E2_E3_m	E2_E3_s	THGTOC_m	THGDOC_s	MeHGTOC_m	MeHGDOC_s	MeHg_rel_m
108	LAE01	Outlet	02.01.2016	12.4	NA	NA	0.614676	0.4452716	0.143612	0.079784	NA	NA	NA	NA	NA	NA	NA	3.5909	NA	4.957065	NA	6.434194	NA	7704.251	4.280116	NA	NA	NA	NA	NA	NA
108	LAE01	Outlet	11.01.2016	12.1	NA	NA	0.590008	0.4290796	0.139072	0.077328	NA	NA	NA	NA	NA	NA	NA	3.546112	NA	4.876099	NA	6.390744	NA	7629.94	4.242464	NA	NA	NA	NA	NA	NA
108	LAE01	Outlet	17.01.2016	11.8	NA	NA	0.561216	0.4078516	0.131876	0.073172	NA	NA	NA	NA	NA	NA	NA	3.456369	NA	4.756068	NA	6.201017	NA	7669.819	4.255634	NA	NA	NA	NA	NA	NA
108	LAE01	Outlet	24.01.2016	12.2	NA	NA	0.538548	0.396584	0.130884	0.072812	NA	NA	NA	NA	NA	NA	NA	3.250689	NA	4.414328	NA	5.968197	NA	7396.418	4.114697	NA	NA	NA	NA	NA	NA
108	LAE01	Outlet	31.01.2016	11.9	2.858146	0.06847371	0.54736	0.401476	0.132032	0.073492	NA	NA	NA	NA	NA	NA	NA	3.373748	NA	4.599664	NA	6.175798	NA	7447.885	4.145662	NA	0.2401803	NA	0.005754094	NA	2.3957389
108	LAE01	Outlet	06.02.2016	12.3	NA	NA	0.528416	0.391952	0.130308	0.072748	NA	NA	NA	NA	NA	NA	NA	3.186602	NA	4.296065	NA	5.914472	NA	7263.65	4.055131	NA	NA	NA	NA	NA	NA
108	LAE01	Outlet	14.02.2016	11.4	NA	NA	0.51616	0.380772	0.125892	0.069544	NA	NA	NA	NA	NA	NA	NA	3.340105	NA	4.527719	NA	6.100351	NA	7422.064	4.100022	NA	NA	NA	NA	NA	NA
108	LAE01	Outlet	21.02.2016	NA	NA	NA	0.505896	0.37438	0.124288	0.068636	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7370.709	4.070353	NA	NA	NA	NA	NA	NA
108	LAE01	Outlet	28.02.2016	11.2	3.558331	0.0789314	0.520652	0.380568	0.123844	0.068384	NA	NA	NA	NA	NA	NA	NA	3.397929	NA	4.648679	NA	6.105714	NA	7613.652	4.204095	NA	0.3177081	NA	0.007047446	NA	2.2182142
108	LAE01	Outlet	06.03.2016	11.7	NA	NA	0.52046	0.380372	0.124084	0.068832	NA	NA	NA	NA	NA	NA	NA	3.251043	NA	4.448376	NA	5.883077	NA	7561.309	4.194417	NA	NA	NA	NA	NA	NA
108	LAE01	Outlet	14.03.2016	11.8	NA	NA	0.52682	0.3845116	0.125256	0.069312	NA	NA	NA	NA	NA	NA	NA	3.258573	NA	4.464576	NA	5.873898	NA	7600.704	4.205946	NA	NA	NA	NA	NA	NA
108	LAE01	Outlet	21.03.2016	10.8	NA	NA	0.535544	0.391276	0.12666	0.069224	NA	NA	NA	NA	NA	NA	NA	3.622926	NA	4.958741	NA	6.40963	NA	7736.392	4.228201	NA	NA	NA	NA	NA	NA
108	LAE01	Outlet	28.03.2016	10.9	3.818483	0.06571142	0.45834	0.335432	0.108712	0.059484	NA	NA	NA	NA	NA	NA	NA	3.077358	NA	4.204954	NA	5.457248	NA	7705.265	4.216094	NA	0.3503195	NA	0.006028571	NA	1.7208778
108	LAE01	Outlet	03.04.2016	10.3	NA	NA	0.455356	0.331088	0.10532	0.05692	NA	NA	NA	NA	NA	NA	NA	3.214447	NA	4.420932	NA	5.526214	NA	7999.93	4.323547	NA	NA	NA	NA	NA	NA
108	LAE01	Outlet	09.04.2016	9.8	NA	NA	0.402472	0.29206	0.093912	0.05162	NA	NA	NA	NA	NA	NA	NA	2.980204	NA	4.106857	NA	5.267347	NA	7796.823	4.285629	NA	NA	NA	NA	NA	NA
108	LAE01	Outlet	18.04.2016	8.7	NA	NA	0.376672	0.272328	0.088056	0.048924	NA	NA	NA	NA	NA	NA	NA	3.130207	NA	4.329563	NA	5.623448	NA	7699.125	4.277642	NA	NA	NA	NA	NA	NA
108	LAE01	Outlet	24.04.2016	8.2	3.565393	0.02447099	0.367656	0.266204	0.086616	0.048308	NA	NA	NA	NA	NA	NA	NA	3.24639	NA	4.48361	NA	5.89122	NA	7610.665	4.244666	NA	0.434804	NA	0.002984267	NA	0.6863476
108	LAE01	Outlet	01.05.2016	7.7	NA	NA	0.374496	0.271884	0.088898	0.049638	NA	NA	NA	NA	NA	NA	NA	3.530961	NA	4.863584	NA	6.446494	NA	7544.542	4.212648	NA	NA	NA	NA	NA	NA
108	LAE01	Outlet	08.05.2016	6.5	NA	NA	0.297112	0.21596	0.070436	0.03986	NA	NA	NA	NA	NA	NA	NA	3.322462	NA	4.570954	NA	6.132308	NA	7453.889	4.218184	NA	NA	NA	NA	NA	NA
108	LAE01	Outlet	15.05.2016	8.8	NA	NA	0.400868	0.291228	0.09582	0.054068	NA	NA	NA	NA	NA	NA	NA	3.309409	NA	4.555318	NA	6.144091	NA	7414.145	4.183552	NA	NA	NA	NA	NA	NA
108	LAE01	Outlet	22.05.2016	8.4	NA	NA	0.396816	0.285792	0.093384	0.053092	NA	NA	NA	NA	NA	NA	NA	3.402286	NA	4.724	NA	6.320476	NA	7474.12	4.249293	NA	NA	NA	NA	NA	NA
108	LAE01	Outlet	29.05.2016	10.3	4.020845	0.05667013	0.43696	0.312444	0.101184	0.057264	NA	NA	NA	NA	NA	NA	NA	3.033437	NA	4.24233	NA	5.559612	NA	7630.623	4.318469	NA	0.3903733	NA	0.005501955	NA	1.4094084
108	LAE01	Outlet	06.06.2016	9.3	NA	NA	0.42478	0.300836	0.095776	0.05418	NA	NA	NA	NA	NA	NA	NA	3.234796	NA	4.567527	NA	5.825806	NA	7840.162	4.43514	NA	NA	NA	NA	NA	NA
108	LAE01	Outlet	12.06.2016	8.8	NA	NA	0.3831876	0.270704	0.083732	0.045556	NA	NA	NA	NA	NA	NA	NA	3.076182	NA	4.354405	NA	5.176818	NA	8411.353	4.576358	NA	NA	NA	NA	NA	NA
108	LAE01	Outlet	19.06.2016	9.2	NA	NA	0.383968	0.270336	0.083284	0.04548	NA	NA	NA	NA	NA	NA	NA	2.938435	NA	4.173565	NA	4.943478	NA	8442.568	4.610345	NA	NA	NA	NA	NA	NA
108	LAE01	Outlet	25.06.2016	8.7	3.12	0.06365176	0.362904	0.255516	0.078688	0.043076	NA	NA	NA	NA	NA	NA	NA	2.936966	NA	4.17131	NA	4.951264	NA	8424.738	4.611936	NA	0.3586207	NA	0.007316295	NA	2.0401206
108	LAE01	Outlet	03.07.2016	11.4	NA	NA	0.51192	0.364604	0.114512	0.063044	NA	NA	NA	NA	NA	NA	NA	3.198281	NA	4.490526	NA	5.530175	NA	8120.043	4.470449	NA	NA	NA	NA	NA	NA
108	LAE01	Outlet	10.07.2016	11.7	NA	NA	0.478152	0.340384	0.107224	0.059164	NA	NA	NA	NA	NA	NA	NA	2.909265	NA	4.086769	NA	5.056752	NA	8081.807	4.459375	NA	NA	NA	NA	NA	NA
108	LAE01	Outlet	17.07.2016	11.5	NA	NA	0.487496	0.346192	0.108768	0.060156	NA	NA	NA	NA	NA	NA	NA	3.010365	NA	4.239096	NA	5.230957	NA	8103.863	4.48198	NA	NA	NA	NA	NA	NA
108	LAE01	Outlet	23.07.2016	11.3	NA	NA	0.47528	0.336092	0.106464	0.059772	NA	NA	NA	NA	NA	NA	NA	2.974265	NA	4.206018	NA	5.289558	NA	7951.549	4.464232	NA	NA	NA	NA	NA	NA
108	LAE01	Outlet	31.07.2016	11.8	3.23	0.07042039	0.51824	0.367196	0.115956	0.064644	NA	NA	NA	NA	NA	NA	NA	3.111831	NA	4.391864	NA	5.478305	NA	8016.831	4.469281	NA	0.2737288	NA	0.00596783	NA	2.1801979
108	LAE01	Outlet	07.08.2016	12.3	NA	NA	0.531984	0.380844	0.120876	0.066834	NA	NA	NA	NA	NA	NA	NA	3.096293	NA	4.325073	NA	5.433659	NA	7959.781	4.401072	NA	NA	NA	NA	NA	NA
